game,shots,hits,accuracy
1,58,17,29.310344827586203
2,51,17,33.33333333333333
3,40,17,42.5
4,59,17,28.8135593220339
5,88,17,19.318181818181817
6,41,17,41.46341463414634
7,52,17,32.69230769230769
8,52,17,32.69230769230769
9,38,17,44.73684210526316
10,44,17,38.63636363636363
11,38,17,44.73684210526316
12,42,17,40.476190476190474
13,45,17,37.77777777777778
14,51,17,33.33333333333333
15,52,17,32.69230769230769
16,53,17,32.075471698113205
17,40,17,42.5
18,35,17,48.57142857142857
19,61,17,27.86885245901639
20,41,17,41.46341463414634
21,57,17,29.82456140350877
22,52,17,32.69230769230769
23,32,17,53.125
24,91,17,18.681318681318682
25,62,17,27.419354838709676
26,34,17,50.0
27,48,17,35.41666666666667
28,50,17,34.0
29,51,17,33.33333333333333
30,59,17,28.8135593220339
31,44,17,38.63636363636363
32,49,17,34.69387755102041
33,35,17,48.57142857142857
34,46,17,36.95652173913043
35,30,17,56.666666666666664
36,87,17,19.54022988505747
37,58,17,29.310344827586203
38,45,17,37.77777777777778
39,53,17,32.075471698113205
40,29,17,58.620689655172406
41,41,17,41.46341463414634
42,53,17,32.075471698113205
43,68,17,25.0
44,45,17,37.77777777777778
45,41,17,41.46341463414634
46,59,17,28.8135593220339
47,40,17,42.5
48,52,17,32.69230769230769
49,40,17,42.5
50,58,17,29.310344827586203
51,40,17,42.5
52,57,17,29.82456140350877
53,51,17,33.33333333333333
54,32,17,53.125
55,48,17,35.41666666666667
56,38,17,44.73684210526316
57,53,17,32.075471698113205
58,75,17,22.666666666666664
59,59,17,28.8135593220339
60,44,17,38.63636363636363
61,38,17,44.73684210526316
62,34,17,50.0
63,41,17,41.46341463414634
64,32,17,53.125
65,55,17,30.909090909090907
66,50,17,34.0
67,42,17,40.476190476190474
68,43,17,39.53488372093023
69,82,17,20.73170731707317
70,37,17,45.94594594594595
71,42,17,40.476190476190474
72,81,17,20.98765432098765
73,43,17,39.53488372093023
74,36,17,47.22222222222222
75,56,17,30.357142857142854
76,57,17,29.82456140350877
77,43,17,39.53488372093023
78,41,17,41.46341463414634
79,44,17,38.63636363636363
80,47,17,36.17021276595745
81,35,17,48.57142857142857
82,62,17,27.419354838709676
83,48,17,35.41666666666667
84,61,17,27.86885245901639
85,47,17,36.17021276595745
86,88,17,19.318181818181817
87,50,17,34.0
88,79,17,21.518987341772153
89,35,17,48.57142857142857
90,53,17,32.075471698113205
91,43,17,39.53488372093023
92,88,17,19.318181818181817
93,43,17,39.53488372093023
94,58,17,29.310344827586203
95,47,17,36.17021276595745
96,41,17,41.46341463414634
97,55,17,30.909090909090907
98,37,17,45.94594594594595
99,54,17,31.48148148148148
100,49,17,34.69387755102041
101,40,17,42.5
102,51,17,33.33333333333333
103,31,17,54.83870967741935
104,43,17,39.53488372093023
105,41,17,41.46341463414634
106,44,17,38.63636363636363
107,40,17,42.5
108,40,17,42.5
109,45,17,37.77777777777778
110,34,17,50.0
111,61,17,27.86885245901639
112,48,17,35.41666666666667
113,52,17,32.69230769230769
114,45,17,37.77777777777778
115,38,17,44.73684210526316
116,40,17,42.5
117,50,17,34.0
118,34,17,50.0
119,32,17,53.125
120,58,17,29.310344827586203
121,40,17,42.5
122,27,17,62.96296296296296
123,47,17,36.17021276595745
124,41,17,41.46341463414634
125,35,17,48.57142857142857
126,40,17,42.5
127,42,17,40.476190476190474
128,43,17,39.53488372093023
129,46,17,36.95652173913043
130,48,17,35.41666666666667
131,46,17,36.95652173913043
132,41,17,41.46341463414634
133,44,17,38.63636363636363
134,35,17,48.57142857142857
135,56,17,30.357142857142854
136,85,17,20.0
137,26,17,65.38461538461539
138,51,17,33.33333333333333
139,57,17,29.82456140350877
140,45,17,37.77777777777778
141,49,17,34.69387755102041
142,83,17,20.481927710843372
143,38,17,44.73684210526316
144,49,17,34.69387755102041
145,72,17,23.61111111111111
146,53,17,32.075471698113205
147,45,17,37.77777777777778
148,46,17,36.95652173913043
149,52,17,32.69230769230769
150,57,17,29.82456140350877
151,47,17,36.17021276595745
152,47,17,36.17021276595745
153,34,17,50.0
154,49,17,34.69387755102041
155,50,17,34.0
156,40,17,42.5
157,42,17,40.476190476190474
158,37,17,45.94594594594595
159,55,17,30.909090909090907
160,54,17,31.48148148148148
161,59,17,28.8135593220339
162,62,17,27.419354838709676
163,38,17,44.73684210526316
164,35,17,48.57142857142857
165,58,17,29.310344827586203
166,34,17,50.0
167,46,17,36.95652173913043
168,80,17,21.25
169,35,17,48.57142857142857
170,45,17,37.77777777777778
171,50,17,34.0
172,41,17,41.46341463414634
173,38,17,44.73684210526316
174,56,17,30.357142857142854
175,52,17,32.69230769230769
176,51,17,33.33333333333333
177,48,17,35.41666666666667
178,57,17,29.82456140350877
179,57,17,29.82456140350877
180,79,17,21.518987341772153
181,50,17,34.0
182,62,17,27.419354838709676
183,45,17,37.77777777777778
184,72,17,23.61111111111111
185,61,17,27.86885245901639
186,50,17,34.0
187,57,17,29.82456140350877
188,46,17,36.95652173913043
189,34,17,50.0
190,41,17,41.46341463414634
191,42,17,40.476190476190474
192,44,17,38.63636363636363
193,45,17,37.77777777777778
194,47,17,36.17021276595745
195,58,17,29.310344827586203
196,53,17,32.075471698113205
197,42,17,40.476190476190474
198,46,17,36.95652173913043
199,41,17,41.46341463414634
200,88,17,19.318181818181817
201,56,17,30.357142857142854
202,57,17,29.82456140350877
203,49,17,34.69387755102041
204,38,17,44.73684210526316
205,39,17,43.58974358974359
206,49,17,34.69387755102041
207,32,17,53.125
208,50,17,34.0
209,49,17,34.69387755102041
210,43,17,39.53488372093023
211,69,17,24.637681159420293
212,47,17,36.17021276595745
213,51,17,33.33333333333333
214,53,17,32.075471698113205
215,58,17,29.310344827586203
216,39,17,43.58974358974359
217,58,17,29.310344827586203
218,51,17,33.33333333333333
219,58,17,29.310344827586203
220,52,17,32.69230769230769
221,49,17,34.69387755102041
222,35,17,48.57142857142857
223,38,17,44.73684210526316
224,52,17,32.69230769230769
225,42,17,40.476190476190474
226,58,17,29.310344827586203
227,38,17,44.73684210526316
228,41,17,41.46341463414634
229,62,17,27.419354838709676
230,42,17,40.476190476190474
231,35,17,48.57142857142857
232,58,17,29.310344827586203
233,41,17,41.46341463414634
234,45,17,37.77777777777778
235,56,17,30.357142857142854
236,38,17,44.73684210526316
237,36,17,47.22222222222222
238,40,17,42.5
239,48,17,35.41666666666667
240,95,17,17.894736842105264
241,48,17,35.41666666666667
242,44,17,38.63636363636363
243,56,17,30.357142857142854
244,62,17,27.419354838709676
245,50,17,34.0
246,34,17,50.0
247,42,17,40.476190476190474
248,52,17,32.69230769230769
249,99,17,17.17171717171717
250,48,17,35.41666666666667
251,52,17,32.69230769230769
252,101,17,16.831683168316832
253,49,17,34.69387755102041
254,39,17,43.58974358974359
255,29,17,58.620689655172406
256,35,17,48.57142857142857
257,47,17,36.17021276595745
258,54,17,31.48148148148148
259,44,17,38.63636363636363
260,50,17,34.0
261,61,17,27.86885245901639
262,93,17,18.27956989247312
263,36,17,47.22222222222222
264,45,17,37.77777777777778
265,47,17,36.17021276595745
266,45,17,37.77777777777778
267,50,17,34.0
268,56,17,30.357142857142854
269,47,17,36.17021276595745
270,43,17,39.53488372093023
271,49,17,34.69387755102041
272,34,17,50.0
273,40,17,42.5
274,49,17,34.69387755102041
275,45,17,37.77777777777778
276,42,17,40.476190476190474
277,45,17,37.77777777777778
278,54,17,31.48148148148148
279,30,17,56.666666666666664
280,36,17,47.22222222222222
281,49,17,34.69387755102041
282,45,17,37.77777777777778
283,58,17,29.310344827586203
284,57,17,29.82456140350877
285,54,17,31.48148148148148
286,48,17,35.41666666666667
287,48,17,35.41666666666667
288,49,17,34.69387755102041
289,35,17,48.57142857142857
290,52,17,32.69230769230769
291,29,17,58.620689655172406
292,37,17,45.94594594594595
293,55,17,30.909090909090907
294,33,17,51.515151515151516
295,39,17,43.58974358974359
296,36,17,47.22222222222222
297,45,17,37.77777777777778
298,47,17,36.17021276595745
299,54,17,31.48148148148148
300,50,17,34.0
301,43,17,39.53488372093023
302,55,17,30.909090909090907
303,34,17,50.0
304,56,17,30.357142857142854
305,52,17,32.69230769230769
306,31,17,54.83870967741935
307,94,17,18.085106382978726
308,78,17,21.794871794871796
309,59,17,28.8135593220339
310,35,17,48.57142857142857
311,44,17,38.63636363636363
312,103,17,16.50485436893204
313,73,17,23.28767123287671
314,46,17,36.95652173913043
315,45,17,37.77777777777778
316,51,17,33.33333333333333
317,43,17,39.53488372093023
318,51,17,33.33333333333333
319,55,17,30.909090909090907
320,48,17,35.41666666666667
321,49,17,34.69387755102041
322,92,17,18.478260869565215
323,45,17,37.77777777777778
324,39,17,43.58974358974359
325,57,17,29.82456140350877
326,56,17,30.357142857142854
327,35,17,48.57142857142857
328,53,17,32.075471698113205
329,32,17,53.125
330,36,17,47.22222222222222
331,93,17,18.27956989247312
332,61,17,27.86885245901639
333,53,17,32.075471698113205
334,32,17,53.125
335,54,17,31.48148148148148
336,45,17,37.77777777777778
337,48,17,35.41666666666667
338,87,17,19.54022988505747
339,58,17,29.310344827586203
340,52,17,32.69230769230769
341,41,17,41.46341463414634
342,43,17,39.53488372093023
343,43,17,39.53488372093023
344,39,17,43.58974358974359
345,48,17,35.41666666666667
346,79,17,21.518987341772153
347,54,17,31.48148148148148
348,54,17,31.48148148148148
349,39,17,43.58974358974359
350,39,17,43.58974358974359
