game,shots,hits,accuracy
1,55,17,30.909090909090907
2,98,17,17.346938775510203
3,80,17,21.25
4,59,17,28.8135593220339
5,40,17,42.5
6,62,17,27.419354838709676
7,92,17,18.478260869565215
8,80,17,21.25
9,61,17,27.86885245901639
10,53,17,32.075471698113205
11,78,17,21.794871794871796
12,58,17,29.310344827586203
13,48,17,35.41666666666667
14,61,17,27.86885245901639
15,38,17,44.73684210526316
16,47,17,36.17021276595745
17,73,17,23.28767123287671
18,30,17,56.666666666666664
19,80,17,21.25
20,81,17,20.98765432098765
21,51,17,33.33333333333333
22,62,17,27.419354838709676
23,42,17,40.476190476190474
24,33,17,51.515151515151516
25,81,17,20.98765432098765
26,57,17,29.82456140350877
27,64,17,26.5625
28,53,17,32.075471698113205
29,62,17,27.419354838709676
30,38,17,44.73684210526316
31,76,17,22.36842105263158
32,65,17,26.153846153846157
33,77,17,22.07792207792208
34,90,17,18.88888888888889
35,76,17,22.36842105263158
36,79,17,21.518987341772153
37,37,17,45.94594594594595
38,67,17,25.37313432835821
39,83,17,20.481927710843372
40,53,17,32.075471698113205
41,46,17,36.95652173913043
42,77,17,22.07792207792208
43,50,17,34.0
44,67,17,25.37313432835821
45,50,17,34.0
46,80,17,21.25
47,48,17,35.41666666666667
48,57,17,29.82456140350877
49,72,17,23.61111111111111
50,64,17,26.5625
51,61,17,27.86885245901639
52,54,17,31.48148148148148
53,42,17,40.476190476190474
54,70,17,24.285714285714285
55,42,17,40.476190476190474
56,54,17,31.48148148148148
57,60,17,28.333333333333332
58,51,17,33.33333333333333
59,63,17,26.984126984126984
60,88,17,19.318181818181817
61,44,17,38.63636363636363
62,41,17,41.46341463414634
63,41,17,41.46341463414634
64,99,17,17.17171717171717
65,51,17,33.33333333333333
66,65,17,26.153846153846157
67,69,17,24.637681159420293
68,66,17,25.757575757575758
69,41,17,41.46341463414634
70,58,17,29.310344827586203
71,64,17,26.5625
72,44,17,38.63636363636363
73,69,17,24.637681159420293
74,45,17,37.77777777777778
75,58,17,29.310344827586203
76,48,17,35.41666666666667
77,57,17,29.82456140350877
78,66,17,25.757575757575758
79,63,17,26.984126984126984
80,53,17,32.075471698113205
81,51,17,33.33333333333333
82,80,17,21.25
83,72,17,23.61111111111111
84,40,17,42.5
85,44,17,38.63636363636363
86,74,17,22.972972972972975
87,49,17,34.69387755102041
88,44,17,38.63636363636363
89,64,17,26.5625
90,64,17,26.5625
91,55,17,30.909090909090907
92,72,17,23.61111111111111
93,55,17,30.909090909090907
94,72,17,23.61111111111111
95,46,17,36.95652173913043
96,51,17,33.33333333333333
97,59,17,28.8135593220339
98,45,17,37.77777777777778
99,44,17,38.63636363636363
100,62,17,27.419354838709676
101,80,17,21.25
102,68,17,25.0
103,55,17,30.909090909090907
104,65,17,26.153846153846157
105,90,17,18.88888888888889
106,57,17,29.82456140350877
107,55,17,30.909090909090907
108,72,17,23.61111111111111
109,75,17,22.666666666666664
110,70,17,24.285714285714285
111,48,17,35.41666666666667
112,65,17,26.153846153846157
113,82,17,20.73170731707317
114,59,17,28.8135593220339
115,46,17,36.95652173913043
116,46,17,36.95652173913043
117,81,17,20.98765432098765
118,56,17,30.357142857142854
119,71,17,23.943661971830984
120,61,17,27.86885245901639
121,69,17,24.637681159420293
122,65,17,26.153846153846157
123,52,17,32.69230769230769
124,61,17,27.86885245901639
125,50,17,34.0
126,66,17,25.757575757575758
127,59,17,28.8135593220339
128,91,17,18.681318681318682
129,45,17,37.77777777777778
130,68,17,25.0
131,43,17,39.53488372093023
132,69,17,24.637681159420293
133,54,17,31.48148148148148
134,68,17,25.0
135,52,17,32.69230769230769
136,84,17,20.238095238095237
137,51,17,33.33333333333333
138,58,17,29.310344827586203
139,53,17,32.075471698113205
140,42,17,40.476190476190474
141,48,17,35.41666666666667
142,39,17,43.58974358974359
143,65,17,26.153846153846157
144,54,17,31.48148148148148
145,56,17,30.357142857142854
146,57,17,29.82456140350877
147,65,17,26.153846153846157
148,54,17,31.48148148148148
149,46,17,36.95652173913043
150,60,17,28.333333333333332
151,57,17,29.82456140350877
152,58,17,29.310344827586203
153,48,17,35.41666666666667
154,44,17,38.63636363636363
155,44,17,38.63636363636363
156,41,17,41.46341463414634
157,49,17,34.69387755102041
158,43,17,39.53488372093023
159,81,17,20.98765432098765
160,65,17,26.153846153846157
161,44,17,38.63636363636363
162,91,17,18.681318681318682
163,55,17,30.909090909090907
164,51,17,33.33333333333333
165,72,17,23.61111111111111
166,70,17,24.285714285714285
167,51,17,33.33333333333333
168,45,17,37.77777777777778
169,35,17,48.57142857142857
170,48,17,35.41666666666667
171,76,17,22.36842105263158
172,85,17,20.0
173,69,17,24.637681159420293
174,68,17,25.0
175,58,17,29.310344827586203
176,86,17,19.767441860465116
177,61,17,27.86885245901639
178,45,17,37.77777777777778
179,94,17,18.085106382978726
180,53,17,32.075471698113205
181,65,17,26.153846153846157
182,63,17,26.984126984126984
183,59,17,28.8135593220339
184,66,17,25.757575757575758
185,68,17,25.0
186,59,17,28.8135593220339
187,71,17,23.943661971830984
188,55,17,30.909090909090907
189,43,17,39.53488372093023
190,37,17,45.94594594594595
191,51,17,33.33333333333333
192,51,17,33.33333333333333
193,47,17,36.17021276595745
194,32,17,53.125
195,70,17,24.285714285714285
196,65,17,26.153846153846157
197,61,17,27.86885245901639
198,41,17,41.46341463414634
199,50,17,34.0
200,52,17,32.69230769230769
201,61,17,27.86885245901639
202,58,17,29.310344827586203
203,77,17,22.07792207792208
204,69,17,24.637681159420293
205,39,17,43.58974358974359
206,55,17,30.909090909090907
207,53,17,32.075471698113205
208,55,17,30.909090909090907
209,61,17,27.86885245901639
210,50,17,34.0
211,58,17,29.310344827586203
212,88,17,19.318181818181817
213,61,17,27.86885245901639
214,68,17,25.0
215,58,17,29.310344827586203
216,77,17,22.07792207792208
217,97,17,17.525773195876287
218,45,17,37.77777777777778
219,88,17,19.318181818181817
220,51,17,33.33333333333333
221,60,17,28.333333333333332
222,53,17,32.075471698113205
223,70,17,24.285714285714285
224,47,17,36.17021276595745
225,73,17,23.28767123287671
226,61,17,27.86885245901639
227,54,17,31.48148148148148
228,45,17,37.77777777777778
